File_Record_0047.rec ( 10403 Samples/channels ) Sample Rate :1s
Date :5/13/2026 11:08:35 AM
Time;Voie A1[°C];Voie A2[°C];
0.000000;23.60535;22.81189;
1000.000000;23.48328;22.90344;
2000.000000;23.48328;22.97974;
3000.000000;23.65112;22.75085;
4000.000000;23.45276;22.91870;
5000.000000;23.45276;22.91870;
6000.000000;23.49854;22.99500;
7000.000000;23.48328;22.93396;
8000.000000;23.57483;23.01025;
9000.000000;23.63586;22.88818;
10000.000000;23.69690;22.87292;
11000.000000;23.60535;22.68982;
12000.000000;23.59009;22.84241;
13000.000000;23.45276;22.73560;
14000.000000;23.55957;22.75085;
15000.000000;23.71216;22.82715;
16000.000000;23.68164;22.78137;
17000.000000;23.75793;22.73560;
18000.000000;23.72742;22.75085;
19000.000000;23.65112;22.68982;
20000.000000;23.78845;22.56775;
21000.000000;23.75793;22.73560;
22000.000000;23.74268;22.65930;
23000.000000;23.80371;22.70508;
24000.000000;23.72742;22.75085;
25000.000000;23.66638;22.49146;
26000.000000;23.78845;22.68982;
27000.000000;23.92578;22.75085;
28000.000000;23.80371;22.59827;
29000.000000;23.63586;22.55249;
30000.000000;23.68164;22.49146;
31000.000000;23.83423;22.61353;
32000.000000;23.86475;22.73560;
33000.000000;23.71216;22.53723;
34000.000000;23.94104;22.62878;
35000.000000;23.77319;22.49146;
36000.000000;23.65112;22.41516;
37000.000000;23.91052;22.39990;
38000.000000;23.84949;22.59827;
39000.000000;24.07837;22.56775;
40000.000000;23.97156;22.65930;
41000.000000;23.77319;22.38464;
42000.000000;23.89526;22.52197;
43000.000000;24.06311;22.56775;
44000.000000;23.91052;22.43042;
45000.000000;24.06311;22.50671;
46000.000000;24.07837;22.39990;
47000.000000;24.03259;22.49146;
48000.000000;23.92578;22.58301;
49000.000000;24.23096;22.46094;
50000.000000;23.95630;22.47620;
51000.000000;23.95630;22.49146;
52000.000000;23.98682;22.59827;
53000.000000;24.18518;22.35413;
54000.000000;24.23096;22.53723;
55000.000000;24.26147;22.52197;
56000.000000;24.21570;22.52197;
57000.000000;24.32251;22.50671;
58000.000000;24.23096;22.41516;
59000.000000;24.18518;22.58301;
60000.000000;24.33777;22.46094;
61000.000000;24.36829;22.38464;
62000.000000;24.29199;22.65930;
63000.000000;24.49036;22.33887;
64000.000000;24.27673;22.53723;
65000.000000;24.32251;22.52197;
66000.000000;24.50562;22.38464;
67000.000000;24.53613;22.38464;
68000.000000;24.65820;22.46094;
69000.000000;24.50562;22.52197;
70000.000000;24.41406;22.62878;
71000.000000;24.49036;22.50671;
72000.000000;24.49036;22.41516;
73000.000000;24.50562;22.44568;
74000.000000;24.49036;22.61353;
75000.000000;24.58191;22.50671;
76000.000000;24.45984;22.49146;
77000.000000;24.55139;22.64404;
78000.000000;24.68872;22.70508;
79000.000000;24.61243;22.70508;
80000.000000;24.65820;22.59827;
81000.000000;24.67346;22.68982;
82000.000000;24.97864;22.62878;
83000.000000;24.78027;22.52197;
84000.000000;25.05493;22.68982;
85000.000000;24.81079;22.46094;
86000.000000;24.93286;22.72034;
87000.000000;24.84131;22.53723;
88000.000000;24.94812;22.65930;
89000.000000;24.91760;22.81189;
90000.000000;24.93286;22.65930;
91000.000000;25.00916;22.67456;
92000.000000;24.87183;22.82715;
93000.000000;25.10071;22.79663;
94000.000000;24.97864;22.79663;
95000.000000;25.13123;22.94922;
96000.000000;24.97864;22.76611;
97000.000000;25.16174;23.05603;
98000.000000;25.13123;22.65930;
99000.000000;25.16174;22.78137;
100000.000000;25.17700;22.96448;
101000.000000;25.03967;22.82715;
102000.000000;25.17700;22.94922;
103000.000000;25.19226;22.84241;
104000.000000;25.31433;22.78137;
105000.000000;25.05493;22.94922;
106000.000000;25.31433;23.01025;
107000.000000;25.34485;22.93396;
108000.000000;25.20752;22.84241;
109000.000000;25.43640;23.04077;
110000.000000;25.37537;23.11707;
111000.000000;25.29907;22.87292;
112000.000000;25.43640;23.16284;
113000.000000;25.37537;23.13232;
114000.000000;25.36011;22.99500;
115000.000000;25.37537;23.11707;
116000.000000;25.40588;23.14758;
117000.000000;25.39063;23.10181;
118000.000000;25.65002;23.26965;
119000.000000;25.49744;23.10181;
120000.000000;25.71106;23.23914;
121000.000000;25.71106;23.28491;
122000.000000;25.81787;23.37646;
123000.000000;25.71106;23.08655;
124000.000000;25.66528;23.23914;
125000.000000;25.63477;23.17810;
126000.000000;25.71106;23.31543;
127000.000000;25.69580;23.34595;
128000.000000;25.83313;23.34595;
129000.000000;25.66528;23.25439;
130000.000000;25.81787;23.31543;
131000.000000;25.80261;23.31543;
132000.000000;25.97046;23.48328;
133000.000000;26.01624;23.55957;
134000.000000;25.86365;23.28491;
135000.000000;25.86365;23.37646;
136000.000000;26.18408;23.34595;
137000.000000;25.86365;23.42224;
138000.000000;26.26038;23.59009;
139000.000000;26.24512;23.51379;
140000.000000;26.06201;23.66638;
141000.000000;26.10779;23.57483;
142000.000000;26.13831;23.51379;
143000.000000;26.18408;23.49854;
144000.000000;25.97046;23.77319;
145000.000000;26.22986;23.46802;
146000.000000;26.01624;23.68164;
147000.000000;26.26038;23.62061;
148000.000000;26.26038;23.74268;
149000.000000;26.44348;23.66638;
150000.000000;26.26038;23.80371;
151000.000000;26.21460;23.83423;
152000.000000;26.38245;23.83423;
153000.000000;26.45874;23.66638;
154000.000000;26.53503;23.63586;
155000.000000;26.55029;23.62061;
156000.000000;26.48926;23.80371;
157000.000000;26.58081;23.77319;
158000.000000;26.50452;23.92578;
159000.000000;26.53503;23.91052;
160000.000000;26.55029;23.92578;
161000.000000;26.58081;23.84949;
162000.000000;26.70288;24.04785;
163000.000000;26.58081;23.97156;
164000.000000;26.70288;23.88000;
165000.000000;26.73340;23.84949;
166000.000000;26.62659;23.98682;
167000.000000;26.55029;24.09363;
168000.000000;26.79443;23.95630;
169000.000000;26.71814;24.00208;
170000.000000;26.91650;23.98682;
171000.000000;26.71814;24.18518;
172000.000000;26.84021;24.01733;
173000.000000;26.82495;24.12415;
174000.000000;27.05383;23.94104;
175000.000000;26.96228;23.98682;
176000.000000;26.84021;24.23096;
177000.000000;27.05383;24.13940;
178000.000000;27.08435;24.13940;
179000.000000;26.87073;24.30725;
180000.000000;27.17590;24.10889;
181000.000000;26.99280;24.42932;
182000.000000;27.08435;24.13940;
183000.000000;27.06909;24.35303;
184000.000000;26.91650;24.35303;
185000.000000;27.23694;24.35303;
186000.000000;27.17590;24.32251;
187000.000000;27.22168;24.26147;
188000.000000;27.06909;24.39880;
189000.000000;27.42004;24.41406;
190000.000000;27.03857;24.50562;
191000.000000;27.31323;24.27673;
192000.000000;27.28271;24.39880;
193000.000000;27.34375;24.44458;
194000.000000;27.09961;24.47510;
195000.000000;27.28271;24.61243;
196000.000000;27.14539;24.44458;
197000.000000;27.45056;24.42932;
198000.000000;27.22168;24.50562;
199000.000000;27.43530;24.65820;
200000.000000;27.23694;24.59717;
201000.000000;27.32849;24.52087;
202000.000000;27.37427;24.79553;
203000.000000;27.54211;24.55139;
204000.000000;27.55737;24.42932;
205000.000000;27.28271;24.52087;
206000.000000;27.64893;24.73450;
207000.000000;27.69470;24.85657;
208000.000000;27.64893;24.52087;
209000.000000;27.64893;24.84131;
210000.000000;27.81677;24.82605;
211000.000000;27.58789;24.70398;
212000.000000;27.67944;24.68872;
213000.000000;27.49634;24.71924;
214000.000000;27.69470;24.78027;
215000.000000;27.78625;24.71924;
216000.000000;27.63367;24.91760;
217000.000000;27.64893;24.81079;
218000.000000;27.80151;24.84131;
219000.000000;27.84729;25.02441;
220000.000000;27.64893;24.84131;
221000.000000;27.70996;24.78027;
222000.000000;27.90833;25.10071;
223000.000000;27.96936;25.00916;
224000.000000;27.80151;24.88708;
225000.000000;27.74048;24.91760;
226000.000000;27.92358;25.08545;
227000.000000;28.01514;24.96338;
228000.000000;28.01514;25.20752;
229000.000000;27.93884;25.03967;
230000.000000;28.06091;25.07019;
231000.000000;27.83203;25.02441;
232000.000000;27.92358;24.94812;
233000.000000;28.12195;25.11597;
234000.000000;27.90833;24.93286;
235000.000000;28.10669;25.00916;
236000.000000;28.06091;25.05493;
237000.000000;27.99988;25.10071;
238000.000000;27.98462;25.02441;
239000.000000;28.27454;25.17700;
240000.000000;28.30505;25.22278;
241000.000000;28.06091;25.16174;
242000.000000;28.27454;25.31433;
243000.000000;28.22876;25.32959;
244000.000000;28.30505;25.28381;
245000.000000;28.36609;25.25330;
246000.000000;28.09143;25.22278;
247000.000000;28.15247;25.19226;
248000.000000;28.47290;25.43640;
249000.000000;28.30505;25.40588;
250000.000000;28.13721;25.14648;
251000.000000;28.36609;25.46692;
252000.000000;28.56445;25.31433;
253000.000000;28.45764;25.43640;
254000.000000;28.45764;25.32959;
255000.000000;28.41187;25.49744;
256000.000000;28.44238;25.29907;
257000.000000;28.50342;25.51270;
258000.000000;28.48816;25.32959;
259000.000000;28.50342;25.37537;
260000.000000;28.48816;25.34485;
261000.000000;28.48816;25.32959;
262000.000000;28.54919;25.40588;
263000.000000;28.71704;25.51270;
264000.000000;28.42712;25.55847;
265000.000000;28.68652;25.36011;
266000.000000;28.73230;25.39063;
267000.000000;28.61023;25.28381;
268000.000000;28.70178;25.61951;
269000.000000;28.85437;25.72632;
270000.000000;28.91541;25.48218;
271000.000000;28.76282;25.51270;
272000.000000;28.91541;25.68054;
273000.000000;28.74756;25.69580;
274000.000000;28.96118;25.55847;
275000.000000;29.00696;25.65002;
276000.000000;28.96118;25.80261;
277000.000000;28.80859;25.77209;
278000.000000;28.91541;25.46692;
279000.000000;29.12903;25.68054;
280000.000000;29.19006;25.54321;
281000.000000;29.25110;25.77209;
282000.000000;28.93066;25.78735;
283000.000000;29.02222;25.52795;
284000.000000;29.35791;25.68054;
285000.000000;29.20532;25.83313;
286000.000000;29.03748;25.78735;
287000.000000;29.35791;25.61951;
288000.000000;29.26636;25.83313;
289000.000000;29.12903;25.98572;
290000.000000;29.29688;25.69580;
291000.000000;29.14429;25.89417;
292000.000000;29.34265;25.90942;
293000.000000;29.47998;25.66528;
294000.000000;29.23584;25.68054;
295000.000000;29.32739;25.86365;
296000.000000;29.31213;25.69580;
297000.000000;29.43420;25.81787;
298000.000000;29.57153;25.84839;
299000.000000;29.32739;26.00098;
300000.000000;29.58679;25.80261;
301000.000000;29.32739;26.03149;
302000.000000;29.54102;26.06201;
303000.000000;29.54102;26.01624;
304000.000000;29.67834;26.09253;
305000.000000;29.51050;26.30615;
306000.000000;29.58679;26.00098;
307000.000000;29.46472;26.18408;
308000.000000;29.73938;26.06201;
309000.000000;29.60205;26.04675;
310000.000000;29.69360;26.12305;
311000.000000;29.51050;26.12305;
312000.000000;29.73938;25.93994;
313000.000000;29.54102;26.18408;
314000.000000;29.60205;26.35193;
315000.000000;29.54102;26.29089;
316000.000000;29.73938;26.16882;
317000.000000;29.51050;26.33667;
318000.000000;29.69360;26.36719;
319000.000000;29.64783;26.30615;
320000.000000;29.93774;26.06201;
321000.000000;29.81567;26.24512;
322000.000000;29.84619;26.22986;
323000.000000;29.95300;26.22986;
324000.000000;29.75464;26.39771;
325000.000000;29.93774;26.24512;
326000.000000;29.96826;26.24512;
327000.000000;29.80042;26.44348;
328000.000000;29.96826;26.36719;
329000.000000;29.96826;26.27563;
330000.000000;29.83093;26.44348;
331000.000000;29.99878;26.27563;
332000.000000;29.96826;26.32141;
333000.000000;29.92249;26.53503;
334000.000000;30.07507;26.47400;
335000.000000;29.98352;26.41296;
336000.000000;30.19714;26.48926;
337000.000000;30.05981;26.59607;
338000.000000;30.27344;26.35193;
339000.000000;30.02930;26.59607;
340000.000000;30.09033;26.53503;
341000.000000;30.24292;26.48926;
342000.000000;30.25818;26.48926;
343000.000000;30.01404;26.62659;
344000.000000;30.33447;26.47400;
345000.000000;30.24292;26.58081;
346000.000000;30.19714;26.59607;
347000.000000;30.04456;26.73340;
348000.000000;30.27344;26.67236;
349000.000000;30.10559;26.53503;
350000.000000;30.19714;26.62659;
351000.000000;30.44128;26.61133;
352000.000000;30.19714;26.87073;
353000.000000;30.44128;26.61133;
354000.000000;30.27344;26.76392;
355000.000000;30.51758;26.74866;
356000.000000;30.27344;26.58081;
357000.000000;30.30396;26.73340;
358000.000000;30.51758;26.64185;
359000.000000;30.47180;26.71814;
360000.000000;30.33447;26.68762;
361000.000000;30.42603;26.74866;
362000.000000;30.42603;26.82495;
363000.000000;30.57861;26.77917;
364000.000000;30.45654;26.77917;
365000.000000;30.67017;26.91650;
366000.000000;30.59387;26.74866;
367000.000000;30.57861;26.91650;
368000.000000;30.68542;27.00806;
369000.000000;30.57861;26.93176;
370000.000000;30.67017;27.20642;
371000.000000;30.71594;26.88599;
372000.000000;30.47180;27.00806;
373000.000000;30.80750;26.91650;
374000.000000;30.82275;26.85547;
375000.000000;30.85327;27.08435;
376000.000000;30.79224;26.94702;
377000.000000;30.92957;27.08435;
378000.000000;30.79224;26.97754;
379000.000000;30.94482;27.25220;
380000.000000;30.65491;26.99280;
381000.000000;30.85327;27.03857;
382000.000000;30.74646;27.09961;
383000.000000;30.85327;27.13013;
384000.000000;30.89905;27.05383;
385000.000000;30.76172;27.14539;
386000.000000;31.06689;27.13013;
387000.000000;30.77698;27.22168;
388000.000000;30.92957;27.16064;
389000.000000;31.18896;27.40479;
390000.000000;31.18896;27.42004;
391000.000000;31.09741;27.20642;
392000.000000;31.29578;27.38953;
393000.000000;31.12793;27.52686;
394000.000000;31.17371;27.32849;
395000.000000;31.14319;27.40479;
396000.000000;31.15845;27.43530;
397000.000000;31.26526;27.49634;
398000.000000;31.34155;27.46582;
399000.000000;31.26526;27.28271;
400000.000000;31.21948;27.23694;
401000.000000;31.28052;27.28271;
402000.000000;31.18896;27.32849;
403000.000000;31.12793;27.34375;
404000.000000;31.41785;27.48108;
405000.000000;31.46362;27.48108;
406000.000000;31.32629;27.43530;
407000.000000;31.53992;27.69470;
408000.000000;31.31104;27.29797;
409000.000000;31.58569;27.55737;
410000.000000;31.43311;27.40479;
411000.000000;31.63147;27.67944;
412000.000000;31.73828;27.64893;
413000.000000;31.47888;27.51160;
414000.000000;31.76880;27.63367;
415000.000000;31.67725;27.54211;
416000.000000;31.58569;27.43530;
417000.000000;31.67725;27.51160;
418000.000000;31.67725;27.64893;
419000.000000;31.78406;27.60315;
420000.000000;31.92139;27.48108;
421000.000000;31.99768;27.67944;
422000.000000;31.76880;27.61841;
423000.000000;31.96716;27.63367;
424000.000000;31.78406;27.57263;
425000.000000;32.04346;27.64893;
426000.000000;32.24182;27.70996;
427000.000000;31.86035;27.49634;
428000.000000;32.07397;27.43530;
429000.000000;32.01294;27.49634;
430000.000000;32.24182;27.77100;
431000.000000;32.15027;27.63367;
432000.000000;32.10449;27.61841;
433000.000000;32.27234;27.61841;
434000.000000;32.31812;27.64893;
435000.000000;32.33337;27.55737;
436000.000000;32.28760;27.63367;
437000.000000;32.28760;27.54211;
438000.000000;32.42493;27.84729;
439000.000000;32.47070;27.64893;
440000.000000;32.54700;27.89307;
441000.000000;32.56226;27.93884;
442000.000000;32.45544;27.74048;
443000.000000;32.65381;27.87781;
444000.000000;32.65381;27.87781;
445000.000000;32.60803;27.93884;
446000.000000;32.80640;27.95410;
447000.000000;32.63855;27.77100;
448000.000000;32.82166;27.87781;
449000.000000;32.74536;27.87781;
450000.000000;32.80640;27.84729;
451000.000000;32.91321;27.96936;
452000.000000;32.83691;27.83203;
453000.000000;33.05054;27.92358;
454000.000000;32.79114;27.84729;
455000.000000;32.76062;27.92358;
456000.000000;32.95898;27.95410;
457000.000000;33.21838;27.83203;
458000.000000;32.98950;27.93884;
459000.000000;32.92847;27.77100;
460000.000000;33.08105;27.80151;
461000.000000;32.98950;28.06091;
462000.000000;33.30994;28.01514;
463000.000000;33.17261;28.09143;
464000.000000;33.12683;27.87781;
465000.000000;33.05054;28.06091;
466000.000000;33.30994;28.01514;
467000.000000;33.50830;27.87781;
468000.000000;33.30994;28.06091;
469000.000000;33.32520;28.03040;
470000.000000;33.24890;28.07617;
471000.000000;33.55408;28.27454;
472000.000000;33.47778;27.98462;
473000.000000;33.63037;28.25928;
474000.000000;33.53882;28.27454;
475000.000000;33.59985;28.06091;
476000.000000;33.58459;28.13721;
477000.000000;33.79822;28.35083;
478000.000000;33.66089;28.06091;
479000.000000;33.70667;28.27454;
480000.000000;33.67615;28.27454;
481000.000000;33.69141;28.03040;
482000.000000;33.85925;28.18298;
483000.000000;33.76770;28.28979;
484000.000000;34.08813;28.21350;
485000.000000;33.93555;28.32031;
486000.000000;33.96606;28.10669;
487000.000000;34.31702;28.27454;
488000.000000;34.24072;28.22876;
489000.000000;34.13391;28.16772;
490000.000000;34.22546;28.32031;
491000.000000;34.01184;28.19824;
492000.000000;34.27124;28.61023;
493000.000000;34.21021;28.18298;
494000.000000;34.31702;28.48816;
495000.000000;34.21021;28.47290;
496000.000000;34.24072;28.42712;
497000.000000;34.37805;28.32031;
498000.000000;34.39331;28.35083;
499000.000000;34.37805;28.54919;
500000.000000;34.43909;28.68652;
501000.000000;34.59167;28.33557;
502000.000000;34.56116;28.59497;
503000.000000;34.65271;28.67126;
504000.000000;34.60693;28.35083;
505000.000000;34.80530;28.42712;
506000.000000;34.86633;28.59497;
507000.000000;34.77478;28.42712;
508000.000000;34.72900;28.68652;
509000.000000;34.59167;28.70178;
510000.000000;35.12573;28.61023;
511000.000000;34.69849;28.70178;
512000.000000;35.01892;28.57971;
513000.000000;34.91211;28.61023;
514000.000000;34.92737;28.90015;
515000.000000;34.92737;28.86963;
516000.000000;34.89685;28.90015;
517000.000000;35.17151;28.77808;
518000.000000;35.21729;28.82385;
519000.000000;35.09521;28.93066;
520000.000000;35.32410;28.77808;
521000.000000;35.09521;28.96118;
522000.000000;35.40039;28.82385;
523000.000000;35.32410;28.86963;
524000.000000;35.38513;28.79333;
525000.000000;35.36987;28.90015;
526000.000000;35.64453;28.71704;
527000.000000;35.44617;29.03748;
528000.000000;35.53772;28.93066;
529000.000000;35.46143;29.12903;
530000.000000;35.69031;29.02222;
531000.000000;35.52246;29.15955;
532000.000000;35.50720;29.29688;
533000.000000;35.61401;29.15955;
534000.000000;35.62927;29.17480;
535000.000000;35.62927;29.17480;
536000.000000;35.70557;29.22058;
537000.000000;35.72083;29.11377;
538000.000000;36.10229;29.17480;
539000.000000;35.79712;29.31213;
540000.000000;35.90393;29.25110;
541000.000000;35.96497;29.29688;
542000.000000;36.04126;29.31213;
543000.000000;35.91919;29.40369;
544000.000000;35.96497;29.41895;
545000.000000;36.16333;29.28162;
546000.000000;36.25488;29.20532;
547000.000000;36.14807;29.28162;
548000.000000;36.22437;29.35791;
549000.000000;36.20911;29.29688;
550000.000000;36.27014;29.46472;
551000.000000;36.23962;29.58679;
552000.000000;36.45325;29.41895;
553000.000000;36.57532;29.43420;
554000.000000;36.14807;29.64783;
555000.000000;36.46851;29.57153;
556000.000000;36.54480;29.52576;
557000.000000;36.31592;29.81567;
558000.000000;36.34644;29.70886;
559000.000000;36.62109;29.64783;
560000.000000;36.65161;29.75464;
561000.000000;36.48376;29.75464;
562000.000000;36.49902;29.84619;
563000.000000;36.48376;29.78516;
564000.000000;36.78894;29.73938;
565000.000000;36.83472;29.54102;
566000.000000;36.69739;29.92249;
567000.000000;36.84998;29.75464;
568000.000000;36.74316;29.86145;
569000.000000;36.69739;29.67834;
570000.000000;36.89575;29.87671;
571000.000000;37.07886;29.90723;
572000.000000;36.98730;30.12085;
573000.000000;37.12463;29.87671;
574000.000000;37.07886;29.95300;
575000.000000;36.88049;29.99878;
576000.000000;37.07886;30.16663;
577000.000000;37.04834;30.04456;
578000.000000;37.18567;29.76990;
579000.000000;37.03308;29.92249;
580000.000000;37.17041;29.96826;
581000.000000;37.27722;29.96826;
582000.000000;37.12463;30.13611;
583000.000000;37.36877;30.07507;
584000.000000;37.06360;29.99878;
585000.000000;37.33826;30.15137;
586000.000000;37.36877;30.13611;
587000.000000;37.38403;30.21240;
588000.000000;37.53662;29.90723;
589000.000000;37.38403;30.30396;
590000.000000;37.56714;30.16663;
591000.000000;37.62817;30.27344;
592000.000000;37.50610;30.21240;
593000.000000;37.59766;30.13611;
594000.000000;37.61292;30.60913;
595000.000000;37.64343;30.22766;
596000.000000;37.75024;30.34973;
597000.000000;37.56714;30.33447;
598000.000000;37.65869;30.44128;
599000.000000;37.82654;30.33447;
600000.000000;37.62817;30.50232;
601000.000000;37.82654;30.21240;
602000.000000;37.78076;30.51758;
603000.000000;37.90283;30.48706;
604000.000000;37.87231;30.45654;
605000.000000;37.99438;30.60913;
606000.000000;37.73499;30.59387;
607000.000000;37.78076;30.79224;
608000.000000;38.08594;30.65491;
609000.000000;37.81128;30.62439;
610000.000000;38.14697;30.79224;
611000.000000;38.07068;30.48706;
612000.000000;38.07068;30.79224;
613000.000000;38.11646;30.51758;
614000.000000;38.07068;30.67017;
615000.000000;38.28430;30.82275;
616000.000000;37.96387;30.86853;
617000.000000;38.25378;30.92957;
618000.000000;38.31482;30.79224;
619000.000000;38.29956;30.68542;
620000.000000;38.39111;30.97534;
621000.000000;38.33008;31.08215;
622000.000000;38.48267;30.77698;
623000.000000;38.13171;30.92957;
624000.000000;38.37585;31.02112;
625000.000000;38.45215;31.17371;
626000.000000;38.48267;31.18896;
627000.000000;38.13171;31.09741;
628000.000000;38.29956;31.14319;
629000.000000;38.62000;31.17371;
630000.000000;38.52844;31.08215;
631000.000000;38.40637;31.14319;
632000.000000;38.48267;31.37207;
633000.000000;38.62000;31.28052;
634000.000000;38.72681;31.35681;
635000.000000;38.58948;31.25000;
636000.000000;38.86414;31.35681;
637000.000000;38.57422;31.08215;
638000.000000;38.57422;31.25000;
639000.000000;38.74207;31.38733;
640000.000000;38.58948;31.25000;
641000.000000;38.63525;31.38733;
642000.000000;38.78784;31.46362;
643000.000000;38.63525;31.47888;
644000.000000;38.81836;31.61621;
645000.000000;38.90991;31.55518;
646000.000000;38.68103;31.43311;
647000.000000;38.92517;31.72302;
648000.000000;38.90991;31.67725;
649000.000000;38.75732;31.44836;
650000.000000;38.83362;31.58569;
651000.000000;39.07776;31.87561;
652000.000000;38.97095;31.73828;
653000.000000;39.07776;31.90613;
654000.000000;38.90991;31.60095;
