File_Record_0052.rec ( 4370 Samples/channels ) Sample Rate :1s
Date :5/20/2026 10:16:45 AM
Time;Voie A1[°C];Voie A2[°C];Voie A3[°C];
0.000000;33.98132;47.39380;46.56982;
1000.000000;34.17969;47.25647;46.63086;
2000.000000;34.02710;47.34802;46.41724;
3000.000000;34.24072;47.48535;46.75293;
4000.000000;34.08813;47.56165;46.92078;
5000.000000;34.33228;47.33276;46.85974;
6000.000000;34.36279;47.59216;46.82922;
7000.000000;34.43909;47.36328;46.56982;
8000.000000;34.46960;46.87500;46.55457;
9000.000000;34.31702;46.87500;46.69189;
10000.000000;34.48486;46.92078;46.27991;
11000.000000;34.46960;47.02759;46.37146;
12000.000000;34.40857;46.84448;46.47827;
13000.000000;34.51538;47.08862;46.12732;
14000.000000;34.66797;46.81396;46.26465;
15000.000000;34.60693;46.96655;46.52405;
16000.000000;34.39331;46.89026;46.47827;
17000.000000;34.37805;46.90552;46.64612;
18000.000000;34.53064;46.69189;46.55457;
19000.000000;34.27124;46.56982;46.82922;
20000.000000;33.88977;46.66138;46.64612;
21000.000000;33.81348;46.85974;46.69189;
22000.000000;33.63037;47.08862;46.32568;
23000.000000;33.70667;46.84448;46.14258;
24000.000000;33.34045;47.02759;46.29517;
25000.000000;33.17261;47.10388;46.18835;
26000.000000;33.15735;47.18018;45.98999;
27000.000000;33.58459;46.99707;46.12732;
28000.000000;33.81348;47.39380;45.91370;
29000.000000;33.84399;47.51587;46.11206;
30000.000000;34.54590;47.36328;46.34094;
31000.000000;34.63745;47.50061;46.47827;
32000.000000;34.62219;47.39380;46.63086;
33000.000000;34.40857;47.68372;46.66138;
34000.000000;34.16443;47.74475;46.53931;
35000.000000;34.08813;47.65320;47.02759;
36000.000000;34.45435;47.89734;46.70715;
37000.000000;34.39331;47.71423;47.13440;
38000.000000;34.42383;47.88208;47.13440;
39000.000000;34.43909;48.03467;46.99707;
40000.000000;34.53064;48.03467;47.21069;
41000.000000;34.86633;48.14148;46.99707;
42000.000000;34.66797;47.91260;47.30225;
43000.000000;34.74426;48.17200;47.24121;
44000.000000;34.88159;47.88208;47.28699;
45000.000000;34.72900;47.68372;47.13440;
46000.000000;34.65271;47.36328;47.14966;
47000.000000;34.04236;46.95129;46.79871;
48000.000000;33.93555;46.61560;46.70715;
49000.000000;34.02710;46.49353;46.38672;
50000.000000;34.07288;46.24939;46.66138;
51000.000000;33.78296;46.32568;46.50879;
52000.000000;33.67615;46.11206;46.35620;
53000.000000;34.02710;46.17310;46.69189;
54000.000000;34.08813;46.69189;46.85974;
55000.000000;34.25598;46.47827;47.05811;
56000.000000;34.45435;46.66138;46.99707;
57000.000000;34.45435;46.79871;47.40906;
